Stock_Name,Date,Time,Open,High,Low,Close,Price,Volume,Percent_Change
"NESTLEIND","18 November, 2021","11:31:03",19400,19488.8,19280.05,19477.05,19372.25,9589,-0.54
"NESTLEIND","18 November, 2021","11:33:04",19400,19488.8,19280.05,19477.05,19383.6,9696,-0.48
"NESTLEIND","18 November, 2021","11:35:04",19400,19488.8,19280.05,19477.05,19387.2,10076,-0.46
"NESTLEIND","18 November, 2021","11:37:04",19400,19488.8,19280.05,19477.05,19392.05,10411,-0.44
"NESTLEIND","18 November, 2021","11:39:04",19400,19488.8,19280.05,19477.05,19400.3,12044,-0.4
"NESTLEIND","18 November, 2021","11:41:04",19400,19488.8,19280.05,19477.05,19400.4,12592,-0.4
"NESTLEIND","18 November, 2021","11:43:03",19400,19488.8,19280.05,19477.05,19407.35,13155,-0.36
"NESTLEIND","18 November, 2021","11:45:04",19400,19488.8,19280.05,19477.05,19400,13584,-0.4
"NESTLEIND","18 November, 2021","11:47:04",19400,19488.8,19280.05,19477.05,19411.8,13710,-0.34
"NESTLEIND","18 November, 2021","11:49:03",19400,19488.8,19280.05,19477.05,19403.7,13915,-0.38
"NESTLEIND","18 November, 2021","11:51:04",19400,19488.8,19280.05,19477.05,19390.25,14083,-0.45
"NESTLEIND","18 November, 2021","11:53:03",19400,19488.8,19280.05,19477.05,19400.9,14189,-0.39
"NESTLEIND","18 November, 2021","11:55:04",19400,19488.8,19280.05,19477.05,19400.25,14353,-0.4
"NESTLEIND","18 November, 2021","11:57:04",19400,19488.8,19280.05,19477.05,19388.35,14638,-0.46
"NESTLEIND","18 November, 2021","11:59:04",19400,19488.8,19280.05,19477.05,19400,14844,-0.4
"NESTLEIND","18 November, 2021","12:01:04",19400,19488.8,19280.05,19477.05,19410,15396,-0.35
"NESTLEIND","18 November, 2021","12:03:04",19400,19488.8,19280.05,19477.05,19414.7,15777,-0.32
"NESTLEIND","18 November, 2021","12:05:04",19400,19488.8,19280.05,19477.05,19411.4,15820,-0.34
"NESTLEIND","18 November, 2021","12:07:04",19400,19488.8,19280.05,19477.05,19400.35,15845,-0.4
"NESTLEIND","18 November, 2021","12:09:03",19400,19488.8,19280.05,19477.05,19428.2,16088,-0.25
"NESTLEIND","18 November, 2021","12:11:04",19400,19488.8,19280.05,19477.05,19401.55,16641,-0.39
"NESTLEIND","18 November, 2021","12:13:04",19400,19488.8,19280.05,19477.05,19420.8,16795,-0.29
"NESTLEIND","18 November, 2021","12:15:04",19400,19488.8,19280.05,19477.05,19405.1,16875,-0.37
"NESTLEIND","18 November, 2021","12:17:04",19400,19488.8,19280.05,19477.05,19410,18179,-0.35
"NESTLEIND","18 November, 2021","12:19:04",19400,19488.8,19280.05,19477.05,19412.25,18260,-0.33
"NESTLEIND","18 November, 2021","12:21:04",19400,19488.8,19280.05,19477.05,19398.2,18322,-0.41
"NESTLEIND","18 November, 2021","12:23:04",19400,19488.8,19280.05,19477.05,19407.6,18472,-0.36
"NESTLEIND","18 November, 2021","12:25:04",19400,19488.8,19280.05,19477.05,19408,18533,-0.36
"NESTLEIND","18 November, 2021","12:27:04",19400,19488.8,19280.05,19477.05,19415.75,18561,-0.32
"NESTLEIND","18 November, 2021","12:29:04",19400,19488.8,19280.05,19477.05,19414.8,18605,-0.32
"NESTLEIND","18 November, 2021","12:31:04",19400,19488.8,19280.05,19477.05,19404.3,18770,-0.37
"NESTLEIND","18 November, 2021","12:33:04",19400,19488.8,19280.05,19477.05,19400,18816,-0.4
"NESTLEIND","18 November, 2021","12:35:04",19400,19488.8,19280.05,19477.05,19411.95,18982,-0.34
"NESTLEIND","18 November, 2021","12:37:04",19400,19488.8,19280.05,19477.05,19403.25,19051,-0.38
"NESTLEIND","18 November, 2021","12:39:04",19400,19488.8,19280.05,19477.05,19412.2,19066,-0.33
"NESTLEIND","18 November, 2021","12:41:04",19400,19488.8,19280.05,19477.05,19419.25,19173,-0.3
"NESTLEIND","18 November, 2021","12:43:04",19400,19488.8,19280.05,19477.05,19443.65,19236,-0.17
"NESTLEIND","18 November, 2021","12:45:03",19400,19488.8,19280.05,19477.05,19426.75,19371,-0.26
"NESTLEIND","18 November, 2021","12:47:04",19400,19488.8,19280.05,19477.05,19432.6,19446,-0.23
"NESTLEIND","18 November, 2021","12:49:04",19400,19488.8,19280.05,19477.05,19442.1,19453,-0.18
"NESTLEIND","18 November, 2021","12:51:04",19400,19488.8,19280.05,19477.05,19441.45,19472,-0.18
"NESTLEIND","18 November, 2021","12:53:04",19400,19488.8,19280.05,19477.05,19440.9,19839,-0.19
"NESTLEIND","18 November, 2021","12:55:04",19400,19488.8,19280.05,19477.05,19440.7,19944,-0.19
"NESTLEIND","18 November, 2021","12:57:04",19400,19488.8,19280.05,19477.05,19449.95,20644,-0.14
"NESTLEIND","18 November, 2021","12:59:04",19400,19488.8,19280.05,19477.05,19449,20693,-0.14
"NESTLEIND","18 November, 2021","13:01:04",19400,19488.8,19280.05,19477.05,19448.5,20707,-0.15
"NESTLEIND","18 November, 2021","13:03:04",19400,19488.8,19280.05,19477.05,19448.15,20828,-0.15
"NESTLEIND","18 November, 2021","13:05:04",19400,19488.8,19280.05,19477.05,19384,21696,-0.48
"NESTLEIND","18 November, 2021","13:07:03",19400,19488.8,19280.05,19477.05,19409,21760,-0.35
"NESTLEIND","18 November, 2021","13:09:04",19400,19488.8,19280.05,19477.05,19424.95,21797,-0.27
